host_id,host_prof,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,lodging,days_available,days_since_review
2787,1,4,93,40.64749,-73.97237,2,149,1,9,0.21,6,365,264.0
2845,1,5,210,40.75362,-73.98377,3,225,1,45,0.38,2,355,50.0
4632,0,5,137,40.80902,-73.9419,2,150,3,0,0.0,1,365,
4869,0,4,185,40.68514,-73.95976,3,89,1,270,4.64,1,194,5.0
7192,0,5,149,40.79851,-73.94399,3,80,10,9,0.1,1,0,233.0
7322,0,5,199,40.74767,-73.975,3,200,3,74,0.59,1,129,18.0
7356,0,4,121,40.68688,-73.95596,2,60,45,49,0.4,1,0,643.0
8967,0,5,194,40.76489,-73.98493,2,79,2,430,3.47,1,220,16.0
7490,0,5,196,40.80178,-73.96723,2,79,2,118,0.99,1,0,719.0
7549,1,5,172,40.71344,-73.99037,3,150,1,160,1.33,4,188,31.0
7702,0,5,196,40.80316,-73.96545,3,135,5,53,0.43,1,6,18.0
7989,0,5,194,40.76076,-73.98867,2,85,2,188,1.5,1,39,17.0
9744,1,4,162,40.66829,-73.98779,2,89,4,167,1.34,3,314,16.0
11528,0,5,196,40.79826,-73.96113,2,85,2,113,0.91,1,333,5.0
11975,0,5,208,40.7353,-74.00525,3,120,90,27,0.22,1,0,252.0
15991,0,4,158,40.70837,-73.95352,3,140,2,148,1.2,1,46,11.0
17571,0,4,164,40.69169,-73.97185,3,215,2,198,1.72,1,321,12.0
18946,0,5,206,40.74192,-73.99501,2,140,1,260,2.12,1,12,9.0
20950,0,4,126,40.67592,-73.94694,3,99,3,53,4.44,1,21,18.0
17985,1,5,149,40.79685,-73.94872,3,190,7,0,0.0,2,249,
21207,0,4,158,40.71842,-73.95718,3,299,3,9,0.07,1,0,2751.0
22486,1,4,183,40.68069,-73.97706,2,130,2,130,1.09,6,347,9.0
22486,1,4,183,40.67989,-73.97798,2,80,1,39,0.37,6,364,190.0
22486,1,4,183,40.68001,-73.97865,2,110,2,71,0.61,6,304,8.0
