host_id,host_prof,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,lodging,days_available,days_since_review
25183,1,4,121,40.68371,-73.94028,3,120,2,88,0.73,2,233,21.0
25326,1,4,152,40.65599,-73.97519,2,60,1,19,1.37,2,85,17.0
26394,0,5,82,40.86754,-73.92639,2,80,4,0,0.0,1,0,
30193,0,5,194,40.76715,-73.98533,3,150,10,58,0.49,1,75,696.0
31374,1,5,82,40.86482,-73.92106,2,44,3,108,1.11,3,311,25.0
21904,0,5,187,40.7292,-73.98542,3,180,14,29,0.24,1,67,82.0
32294,1,5,137,40.82245,-73.95104,2,50,3,242,2.04,3,355,39.0
32045,0,5,137,40.81305,-73.95466,2,52,2,88,1.42,1,255,26.0
32169,1,4,160,40.72219,-73.93762,2,55,4,197,1.65,3,284,25.0
32294,1,5,137,40.8213,-73.95318,2,50,3,273,2.37,3,359,9.0
35935,1,4,121,40.6831,-73.95473,2,70,1,74,0.66,2,269,59.0
9744,1,4,162,40.66869,-73.9878,2,89,4,168,1.41,3,340,19.0
7355,0,4,121,40.68876,-73.94312,2,35,60,0,0.0,1,365,
44145,1,4,66,40.70186,-73.92745,3,85,2,231,1.96,2,22,18.0
45445,0,4,92,40.63702,-73.96327,2,150,1,0,0.0,1,365,
7549,1,5,188,40.71401,-73.98917,1,40,1,214,1.81,4,188,5.0
46978,1,5,187,40.7229,-73.98199,2,68,2,245,2.08,2,96,19.0
47610,0,4,162,40.66278,-73.97966,3,120,3,15,0.39,1,345,44.0
47618,0,4,164,40.69673,-73.97584,2,120,7,25,0.23,1,311,283.0
16800,0,5,196,40.79009,-73.97927,2,135,4,81,0.69,1,273,24.0
47727,0,5,137,40.81175,-73.94478,3,150,7,97,0.84,1,309,27.0
49670,0,4,123,40.65944,-73.96238,3,150,29,11,0.49,1,95,35.0
50124,0,2,144,40.74771,-73.9474,2,130,3,248,2.25,1,215,9.0
50148,0,4,121,40.68111,-73.95591,3,110,7,61,0.52,1,265,46.0
50846,0,4,121,40.68554,-73.9409,3,115,3,11,0.1,1,0,920.0
52335,1,4,164,40.69142,-73.97376,2,80,3,135,1.16,2,192,23.0
54275,1,4,121,40.68043,-73.93934,2,80,1,112,1.01,3,251,24.0
56094,0,5,196,40.78635,-73.97008,3,151,2,73,0.63,1,302,3.0
56104,0,4,158,40.7042,-73.9356,3,228,3,82,0.7,1,140,54.0
56246,0,4,160,40.73506,-73.95392,3,144,2,328,2.82,1,234,11.0
56284,0,5,193,40.73961,-73.98074,3,200,7,19,0.22,1,257,107.0
56512,0,4,158,40.70881,-73.9593,3,150,30,105,0.9,1,30,18.0
59023,0,5,188,40.72004,-73.99104,2,110,5,19,0.17,1,301,53.0
59734,1,5,194,40.75531,-73.99293,2,69,2,289,2.49,2,294,31.0
32169,1,4,160,40.72401,-73.93788,2,49,4,138,1.19,3,320,36.0
60049,0,5,211,40.7221,-73.99775,3,180,30,21,0.3,1,154,11.0
60252,0,4,158,40.71185,-73.96204,2,80,2,42,0.38,1,263,10.0
60278,0,5,206,40.74623,-73.9953,3,375,180,5,0.12,1,180,249.0
61491,1,5,190,40.77065,-73.95269,3,250,2,66,0.57,2,231,102.0
63588,1,4,180,40.67811,-73.96428,3,200,30,143,1.33,2,297,165.0
63613,1,4,185,40.69,-73.96788,2,55,7,27,0.23,2,292,648.0
63924,0,5,194,40.75979,-73.99119,2,52,30,191,1.65,1,191,55.0
64056,0,4,183,40.67343,-73.98338,3,225,3,4,0.16,1,0,654.0
64442,1,5,187,40.72649,-73.97904,2,80,1,338,4.72,2,72,9.0
64522,0,4,158,40.70933,-73.96792,3,275,1,148,1.4,1,362,17.0
4396,1,5,187,40.72298,-73.98474,2,99,1,106,1.26,2,336,19.0
65837,0,5,149,40.80164,-73.93922,3,225,4,190,1.64,1,215,17.0
66035,0,5,187,40.72162,-73.98008,3,230,9,49,0.43,1,116,422.0
66243,0,5,194,40.76342,-73.98865,2,51,7,23,0.43,1,88,39.0
68428,1,5,86,40.83139,-73.94095,2,65,2,49,1.6,2,336,22.0
68599,0,4,185,40.68346,-73.96374,2,105,2,105,0.92,1,304,14.0
69829,0,5,187,40.72828,-73.98801,3,190,5,21,0.2,1,224,189.0
69942,0,5,190,40.76865,-73.95058,2,200,1,142,1.5,1,322,4.0
70091,0,2,70,40.75038,-73.90334,2,70,30,25,0.22,1,324,40.0
71512,0,4,164,40.6932,-73.97267,2,95,3,143,1.28,1,132,24.0
71876,0,5,206,40.74138,-74.00197,2,150,3,167,1.65,1,295,43.0
72014,1,4,158,40.71154,-73.96112,2,145,3,61,0.54,4,238,79.0
73051,0,5,137,40.82915,-73.95136,3,110,31,54,0.49,1,209,109.0
73128,0,5,188,40.71851,-73.98892,3,285,5,70,0.62,1,328,10.0
73469,0,4,92,40.65401,-73.96323,3,130,6,16,0.15,1,38,25.0
44263,0,5,188,40.7114,-73.98794,2,94,30,94,0.84,1,188,93.0
74857,0,4,158,40.71833,-73.95748,3,105,3,61,0.53,1,272,335.0
62407,0,5,187,40.72334,-73.9844,2,60,3,194,1.73,1,26,10.0
76627,0,5,187,40.72912,-73.98057,2,50,1,2,0.05,1,0,1242.0
72014,1,4,158,40.71156,-73.96218,2,85,3,174,1.54,4,288,18.0
961342,0,4,66,40.70032,-73.9383,2,65,4,24,0.28,1,317,45.0
78460,0,4,180,40.68233,-73.97261,3,131,4,166,3.4,1,207,13.0
51038,1,4,185,40.68634,-73.966,2,98,7,16,0.2,6,185,40.0
79070,0,4,180,40.68035,-73.97162,3,250,7,21,0.3,1,158,50.0
79402,0,4,158,40.70984,-73.95775,3,100,5,168,1.57,1,0,353.0
44145,1,4,66,40.70093,-73.92609,3,105,3,118,1.05,2,9,22.0
42032,0,5,196,40.79764,-73.96177,3,140,3,81,0.71,1,198,3.0
82685,0,5,137,40.82803,-73.94731,2,89,1,1,0.11,1,365,274.0
83257,1,5,206,40.74008,-74.00271,2,98,30,30,0.27,2,364,70.0
87773,1,4,121,40.68413,-73.92357,3,125,7,139,1.23,2,311,255.0
32294,1,5,137,40.82279,-73.95139,2,60,3,11,0.87,3,219,188.0
11481,1,4,181,40.67967,-74.00154,3,175,2,233,2.09,3,342,16.0
63318,0,5,86,40.83927,-73.94281,2,65,2,68,0.6,1,312,2442.0
93790,1,5,208,40.73096,-74.00319,3,500,4,46,0.55,2,243,53.0
97219,0,4,158,40.71332,-73.94177,2,101,3,335,3.02,1,152,42.0
97797,0,4,183,40.66941,-73.98109,3,220,30,88,0.79,1,9,250.0
87773,1,4,121,40.68373,-73.92377,3,125,90,162,1.46,2,137,12.0
105538,0,4,158,40.71459,-73.94844,3,80,30,29,0.4,1,222,410.0
107628,0,5,137,40.8092,-73.94421,2,100,2,170,1.61,1,346,17.0
109589,0,4,170,40.68157,-73.98989,3,200,30,19,0.2,1,208,845.0
59734,1,5,194,40.75527,-73.99291,2,59,2,334,3.0,2,279,24.0
51038,1,4,185,40.68698,-73.96572,2,125,2,19,0.2,6,250,38.0
112793,0,5,187,40.7288,-73.98192,3,140,7,12,0.13,1,164,576.0
42273,1,4,162,40.66853,-73.98912,3,120,30,467,4.22,2,192,192.0
72062,1,5,187,40.7254,-73.98157,3,350,2,7,0.06,4,298,700.0
115157,0,5,193,40.74294,-73.98009,3,199,5,38,0.38,1,260,1316.0
115307,0,4,158,40.71942,-73.95748,3,325,3,324,3.01,1,107,17.0
115560,0,5,196,40.77823,-73.97637,3,235,6,27,0.27,1,199,74.0
72062,1,5,187,40.72555,-73.97965,3,225,1,115,1.05,4,299,33.0
118971,1,4,162,40.66831,-73.98604,2,99,2,354,3.2,3,20,51.0
119510,0,5,137,40.82754,-73.94919,3,170,2,195,2.03,1,318,9.0
119588,1,4,162,40.66499,-73.97925,3,400,2,16,0.24,2,216,192.0
119900,0,5,196,40.77842,-73.97556,3,170,7,13,0.12,1,224,14.0
120223,0,5,187,40.72245,-73.98527,3,100,4,25,0.23,1,0,2769.0
65091,0,4,123,40.65593,-73.96053,2,75,2,9,0.08,1,324,278.0
6197784,0,4,158,40.71923,-73.96468,2,90,1,9,0.08,1,245,2852.0
124352,0,5,190,40.778,-73.94822,3,150,5,21,0.19,1,189,694.0
124797,0,5,86,40.85879,-73.93128,2,85,15,36,0.33,1,307,692.0
35935,1,4,121,40.68332,-73.9547,2,70,3,63,0.58,2,310,57.0
126607,1,5,137,40.81618,-73.94894,3,120,3,155,1.42,3,213,20.0
127608,0,4,185,40.68414,-73.96351,2,89,3,260,2.35,1,278,7.0
125857,0,5,187,40.72392,-73.99143,3,185,5,73,0.66,1,209,15.0
129352,0,4,160,40.73494,-73.9503,2,50,3,193,1.86,1,0,51.0
120335,0,5,188,40.71341,-73.98856,3,105,3,32,0.29,1,16,26.0
117287,1,5,194,40.76754,-73.98399,2,130,2,50,0.45,3,234,45.0
135619,0,5,208,40.73442,-74.00303,3,115,29,26,0.25,1,12,9.0
137292,0,4,142,40.63188,-73.93248,2,77,2,2,0.02,1,178,190.0
137814,1,4,185,40.6873,-73.9634,2,76,2,426,3.89,3,275,16.0
137974,1,4,121,40.68296,-73.93662,3,125,3,227,2.09,2,163,17.0
116599,1,4,185,40.6863,-73.96765,2,135,4,84,0.77,3,365,9.0
138579,0,4,160,40.73409,-73.95348,3,250,29,3,0.03,1,34,710.0
139612,0,4,158,40.71561,-73.94835,3,199,3,10,0.1,1,280,394.0
139874,0,4,197,40.6857,-73.99183,3,140,2,4,0.04,1,0,1172.0
140025,0,2,95,40.74028,-73.83168,2,140,2,1,0.01,1,1,2851.0
137974,1,4,121,40.68281,-73.93524,3,115,3,124,1.72,2,170,20.0
142833,0,4,158,40.71596,-73.93938,3,160,3,11,0.11,1,188,8.0
143027,0,4,158,40.71492,-73.95935,3,195,4,240,2.19,1,214,23.0
143048,0,5,187,40.72354,-73.98295,3,195,3,30,0.28,1,248,23.0
72014,1,4,158,40.71165,-73.96087,2,80,3,200,1.86,4,262,18.0
149929,1,4,164,40.69101,-73.97312,2,44,8,27,1.05,5,280,11.0
120291,0,5,208,40.73474,-74.00101,2,156,4,79,0.74,1,307,18.0
62165,0,4,180,40.67386,-73.96641,2,85,15,9,0.09,1,339,2252.0
142684,0,4,158,40.71536,-73.96057,2,125,3,155,1.61,1,1,27.0
137432,0,4,180,40.6741,-73.96595,3,115,15,4,0.05,1,269,317.0
157798,0,5,149,40.79295,-73.93997,2,69,2,34,0.32,1,10,772.0
158284,0,5,208,40.73226,-74.00401,3,225,45,134,1.24,1,312,101.0
159370,0,4,158,40.71363,-73.96398,3,125,6,27,0.25,1,189,195.0
92788,1,5,190,40.77711,-73.9527,3,219,4,126,1.16,2,290,14.0
165789,0,4,182,40.68559,-73.98094,3,475,3,23,0.27,1,230,191.0
168417,1,5,190,40.77456,-73.95323,3,99,1,234,2.6,2,164,32.0
168525,1,4,158,40.71088,-73.95055,2,69,4,202,1.86,2,53,43.0
110506,0,2,67,40.74559,-73.92313,2,79,30,28,0.26,1,126,89.0
170510,1,4,121,40.68306,-73.94659,3,135,2,309,2.86,2,3,18.0
171851,0,4,192,40.70207,-73.98571,2,250,3,14,0.13,1,189,2998.0
174025,0,5,190,40.76123,-73.9642,3,250,3,4,0.08,1,365,1020.0
180083,0,4,170,40.66858,-73.99083,3,250,2,80,2.17,1,0,4.0
181167,0,5,137,40.82704,-73.94907,3,80,3,2,0.04,1,0,1346.0
137814,1,4,185,40.68843,-73.96408,2,70,2,294,3.47,3,336,16.0
11481,1,4,181,40.6783,-74.00135,3,165,2,150,1.4,3,342,22.0
185978,0,3,135,40.64524,-74.08088,2,70,2,166,1.66,1,312,27.0
177536,0,4,66,40.70641,-73.91765,2,50,2,47,0.94,1,37,21.0
190409,1,1,26,40.83232,-73.93184,2,40,1,219,2.04,3,353,6.0
193360,0,4,158,40.71045,-73.9677,3,150,2,193,1.78,1,177,1099.0
72062,1,5,187,40.72518,-73.98034,2,125,1,84,0.78,4,310,17.0
193722,0,5,202,40.70666,-74.01374,3,196,3,114,1.06,1,0,20.0
181376,1,4,164,40.69098,-73.97113,2,110,2,213,2.0,2,321,16.0
193637,0,5,208,40.73756,-74.00405,3,170,3,86,0.8,1,246,39.0
126607,1,5,137,40.81526,-73.94791,3,165,3,80,0.75,3,231,45.0
201297,0,5,208,40.73423,-74.0046,3,150,26,38,0.36,1,225,1176.0
202249,0,5,137,40.82374,-73.9373,3,100,2,18,1.79,1,0,205.0
67778,1,4,164,40.68863,-73.97691,2,65,2,206,1.92,2,0,10.0
204539,1,2,41,40.70382,-73.89797,3,350,8,10,0.11,5,365,59.0
867225,1,5,131,40.80549,-73.95924,2,99,4,122,1.18,2,233,57.0
204724,0,4,158,40.71627,-73.9587,3,200,4,33,0.58,1,1,93.0
8198,0,4,183,40.67994,-73.97863,3,150,5,52,0.5,1,18,35.0
209460,1,4,121,40.67992,-73.9475,2,90,3,126,1.17,4,343,52.0
210746,1,4,180,40.67868,-73.97307,2,120,3,51,0.48,3,250,16.0
212722,0,5,190,40.76834,-73.95334,2,75,3,199,1.85,1,326,16.0
214148,0,4,121,40.68237,-73.9415,3,175,26,30,0.29,1,364,2501.0
214287,0,5,206,40.74031,-73.99999,3,125,3,3,0.03,1,0,1454.0
218404,0,5,194,40.76307,-73.99665,3,275,1,41,0.38,1,299,14.0
221873,0,5,188,40.71882,-73.98852,3,299,2,109,1.04,1,207,25.0
9744,1,4,162,40.6693,-73.98804,3,135,5,151,1.43,3,162,18.0
236421,1,5,190,40.77333,-73.95199,2,130,14,0,0.0,2,0,
236655,0,5,188,40.72319,-73.99201,2,83,1,285,2.69,1,7,18.0
237329,0,5,206,40.74859,-73.99671,2,123,1,375,3.52,1,328,22.0
27848,1,2,103,40.67252,-73.76597,2,55,2,52,0.49,2,365,51.0
240360,0,5,194,40.76244,-73.99271,3,195,5,10,1.01,1,0,9.0
247432,0,4,121,40.69546,-73.93503,2,80,2,11,0.48,1,0,604.0
204539,1,2,122,40.71722,-73.87856,3,98,30,33,0.31,5,240,1523.0
204539,1,2,41,40.70234,-73.89816,2,140,7,6,0.06,5,365,1371.0
204539,1,2,122,40.71546,-73.87854,3,265,7,38,0.38,5,365,74.0
10889,1,4,158,40.7195,-73.95976,3,249,2,358,3.44,2,164,20.0
255583,0,5,194,40.76548,-73.98474,1,105,6,10,0.09,1,363,2010.0
253385,0,5,137,40.80234,-73.95603,2,200,30,0,0.0,1,365,
210746,1,4,180,40.6787,-73.97262,2,100,2,226,2.12,3,250,34.0
256161,1,5,137,40.81035,-73.94598,3,121,1,104,1.0,5,247,18.0
190409,1,1,26,40.83075,-73.93058,2,45,1,138,1.45,3,323,10.0
258164,0,5,149,40.79958,-73.94275,2,100,5,204,1.92,1,192,17.0
260709,0,4,158,40.71625,-73.93845,3,140,2,253,3.04,1,125,8.0
262138,0,4,121,40.6829,-73.93549,2,71,2,23,0.22,1,91,9.0
88209,0,5,212,40.72773,-73.99134,2,130,2,115,1.17,1,75,217.0
263414,0,5,208,40.72861,-74.0049,3,199,5,129,1.22,1,286,52.0
168525,1,4,158,40.70979,-73.95162,2,69,4,82,1.13,2,60,30.0
264928,0,4,164,40.68656,-73.97525,2,68,3,37,0.35,1,0,191.0
267593,0,5,187,40.72752,-73.98432,3,130,1,204,2.04,1,192,9.0
268014,0,4,160,40.729,-73.95829,3,195,2,69,0.65,1,58,27.0
256161,1,5,137,40.81219,-73.94499,2,64,1,192,1.84,5,245,37.0
272006,0,2,101,40.77185,-73.90502,3,140,2,17,0.16,1,292,23.0
199392,0,4,197,40.68926,-73.99386,3,159,2,222,2.12,1,279,16.0
239208,0,5,187,40.72821,-73.98701,3,189,3,205,1.96,1,0,17.0
274557,0,5,194,40.7672,-73.98508,3,250,3,94,0.96,1,3,31.0
275459,0,5,187,40.73012,-73.99053,3,239,3,7,0.07,1,351,47.0
275578,0,5,214,40.7403,-73.98498,3,305,2,108,1.09,1,201,10.0
276291,1,5,137,40.80931,-73.94343,3,155,3,222,2.1,2,232,14.0
277379,1,5,137,40.8251,-73.94287,2,60,1,458,4.58,2,258,7.0
277394,0,4,152,40.6585,-73.98397,2,135,2,21,0.26,1,272,54.0
279797,0,5,129,40.76193,-73.9501,2,120,7,17,0.3,1,341,63.0
282927,0,5,188,40.72052,-73.98589,3,150,3,41,0.39,1,244,189.0
204539,1,2,41,40.70411,-73.89934,3,140,14,1,0.01,5,365,2487.0
274782,0,4,160,40.73401,-73.95967,3,135,2,69,0.67,1,12,52.0
186084,1,5,172,40.71756,-73.99503,3,250,4,18,0.18,2,265,9.0
288031,0,5,210,40.7589,-73.96991,3,250,30,82,0.78,1,0,1282.0
289653,0,5,211,40.72003,-74.00262,3,500,4,94,0.99,1,329,17.0
99212,0,5,207,40.73194,-73.99474,3,225,5,10,0.1,1,91,60.0
292204,1,5,149,40.79163,-73.94573,3,125,28,183,1.83,2,365,284.0
256161,1,5,137,40.8118,-73.94434,2,92,1,189,1.82,5,253,29.0
249372,0,5,137,40.81583,-73.94707,2,175,2,1,0.11,1,365,276.0
292630,0,5,187,40.72654,-73.98049,3,99,2,127,1.22,1,320,20.0
293394,0,5,196,40.80021,-73.96071,3,195,4,4,0.04,1,0,684.0
126607,1,5,149,40.80942,-73.93936,3,140,3,135,1.3,3,192,20.0
295760,0,5,200,40.71961,-73.9954,3,135,2,21,0.2,1,0,1306.0
291112,0,5,206,40.74358,-74.00027,3,500,2,35,0.34,1,348,713.0
297176,1,5,137,40.80335,-73.9575,2,80,14,10,2.21,2,0,39.0
297769,1,5,172,40.71445,-73.9908,2,120,4,171,1.8,2,353,17.0
23619,0,5,210,40.75749,-73.96897,3,110,200,92,0.9,1,140,71.0
281764,0,4,114,40.64446,-73.9503,3,65,3,238,2.3,1,2,26.0
303882,0,5,187,40.7268,-73.99079,3,130,50,56,0.58,1,56,45.0
197755,0,4,66,40.688,-73.9171,3,99,3,111,2.13,1,68,18.0
303939,1,3,36,40.63536,-74.08537,2,36,2,193,1.85,6,360,15.0
303939,1,3,36,40.63627,-74.08543,2,37,2,147,1.44,6,0,30.0
303939,1,3,36,40.63518,-74.08546,2,37,2,177,1.71,6,320,8.0
306545,1,5,187,40.72477,-73.98161,3,175,3,185,1.78,2,326,47.0
306605,1,5,206,40.74238,-73.99567,3,205,9,62,0.7,2,76,19.0
306739,1,4,160,40.72945,-73.95511,3,285,3,124,1.22,3,279,24.0
308875,1,4,158,40.70763,-73.95177,2,59,2,181,1.77,2,15,17.0
303939,1,3,36,40.63481,-74.08519,2,36,2,333,3.19,6,340,8.0
307962,0,2,134,40.75384,-73.91433,3,99,5,441,4.5,1,226,16.0
308652,1,4,93,40.64106,-73.97426,2,39,1,45,0.46,2,365,55.0
310458,1,4,183,40.66793,-73.98327,2,60,14,9,0.09,2,0,1045.0
295128,1,1,127,40.81309,-73.85514,2,90,2,0,0.0,7,349,
310670,1,1,155,40.88057,-73.83572,3,105,2,38,0.5,13,365,13.0
170510,1,4,121,40.68236,-73.94314,3,135,2,248,2.39,2,11,15.0
306545,1,5,187,40.72185,-73.98246,3,390,5,143,1.38,2,316,21.0
311286,1,4,121,40.68503,-73.95385,2,70,3,36,0.41,4,281,325.0
312288,1,5,82,40.86648,-73.9263,2,75,7,0,0.0,2,323,
312722,1,4,158,40.7069,-73.95467,2,60,17,14,0.14,4,362,184.0
146944,0,5,187,40.72807,-73.98594,3,200,3,0,0.0,1,0,
313317,0,4,126,40.6778,-73.94339,2,100,3,279,2.69,1,301,16.0
311286,1,4,121,40.68317,-73.94701,2,70,4,18,0.22,4,189,189.0
314256,0,4,126,40.6761,-73.9529,2,110,6,50,3.55,1,0,45.0
314582,1,4,126,40.67586,-73.95155,2,60,2,227,2.27,2,287,13.0
7310,0,5,200,40.71702,-73.99811,3,90,14,1,0.16,1,14,189.0
46978,1,5,187,40.72321,-73.98157,2,68,2,203,1.96,2,86,17.0
317809,0,5,196,40.77956,-73.98098,3,115,2,210,2.1,1,261,4.0
319092,0,4,121,40.68276,-73.95264,2,75,5,64,0.67,1,68,186.0
320422,0,4,158,40.71368,-73.9626,2,60,3,0,0.0,1,0,
320450,0,5,187,40.72956,-73.98158,3,129,7,5,0.15,1,231,188.0
320761,0,4,158,40.71069,-73.95175,3,130,10,49,0.48,1,152,11.0
320538,0,4,158,40.70863,-73.94641,3,95,4,132,1.27,1,46,3.0
321756,0,5,137,40.82888,-73.94307,2,75,3,20,0.26,1,364,189.0
321934,0,4,183,40.67319,-73.97323,3,175,2,11,0.11,1,246,2260.0
322884,0,4,181,40.67846,-73.99443,3,190,3,51,0.57,1,288,9.0
322716,1,4,126,40.6715,-73.94808,2,49,21,15,0.15,5,331,10.0
324460,0,5,187,40.72681,-73.98534,3,212,3,67,1.31,1,51,15.0
314941,1,5,188,40.71904,-73.99392,2,95,1,109,1.11,3,364,17.0
325389,0,4,158,40.71031,-73.9583,3,140,2,9,0.11,1,254,144.0
136227,0,5,137,40.81322,-73.95306,3,135,6,187,1.87,1,189,17.0
327673,1,4,183,40.67732,-73.98225,3,150,2,214,2.08,2,263,17.0
329436,1,4,170,40.68076,-73.9896,3,190,3,69,0.79,2,258,9.0
101597,0,5,149,40.79603,-73.94903,3,124,28,22,0.26,1,103,25.0
330347,0,4,158,40.71492,-73.96282,3,135,30,56,0.56,1,42,65.0
332189,0,5,131,40.80393,-73.95838,2,122,3,93,0.93,1,246,18.0
323517,1,5,196,40.80082,-73.9652,2,109,1,104,1.05,2,364,15.0
338454,0,5,137,40.82976,-73.94867,2,85,30,64,0.68,1,318,369.0
240427,1,4,121,40.683,-73.91981,3,145,3,127,1.25,2,72,16.0
342054,0,5,196,40.78971,-73.9729,3,195,11,30,0.32,1,249,27.0
282655,1,4,181,40.67817,-73.99495,3,250,2,106,1.34,3,272,13.0
343250,0,4,160,40.73119,-73.95578,2,125,3,6,0.1,1,325,969.0
352168,0,5,196,40.78,-73.98249,3,150,30,48,0.55,1,35,29.0
155689,0,4,66,40.70514,-73.91922,2,70,5,47,0.49,1,203,11.0
353965,0,5,82,40.86713,-73.92811,2,90,2,120,1.27,1,132,10.0
354330,0,5,187,40.73198,-73.98881,2,65,3,52,0.63,1,5,181.0
72062,1,5,187,40.72542,-73.97986,3,500,2,48,0.48,4,297,24.0
361855,1,5,86,40.83494,-73.93869,3,250,3,32,0.43,2,276,47.0
363834,0,5,172,40.71659,-73.98945,3,125,25,43,0.42,1,102,23.0
364955,0,5,208,40.72966,-74.00243,3,200,30,39,0.44,1,251,15.0
365153,0,4,160,40.72898,-73.95552,3,229,1,50,0.5,1,188,1884.0
369015,1,1,44,40.87207,-73.90193,3,90,30,4,0.35,2,346,189.0
373085,0,5,196,40.77728,-73.97818,3,110,13,38,0.39,1,0,145.0
340692,0,4,160,40.72646,-73.95341,2,59,3,29,0.36,1,15,24.0
211877,0,4,158,40.71015,-73.96101,3,195,4,59,0.6,1,71,17.0
389924,1,4,158,40.71903,-73.9597,3,169,1,68,0.67,2,215,33.0
331328,1,5,149,40.80892,-73.93985,3,113,14,26,0.27,3,253,1323.0
391325,0,5,137,40.80276,-73.9567,3,250,14,31,0.31,1,78,2513.0
265109,0,2,134,40.77635,-73.93426,3,115,2,198,2.01,1,257,40.0
394752,0,4,160,40.72488,-73.95018,2,55,2,1,0.01,1,0,3026.0
308875,1,4,158,40.71398,-73.95763,2,69,2,220,2.17,2,8,18.0
401696,0,5,188,40.71876,-73.98394,3,150,3,286,2.81,1,191,13.0
118971,1,4,162,40.66552,-73.99019,3,169,2,398,3.97,3,182,12.0
417504,1,4,160,40.73749,-73.95292,2,179,3,36,0.36,28,79,9.0
134355,0,5,194,40.76248,-73.9913,2,150,3,36,0.36,1,49,26.0
422561,0,4,182,40.68674,-73.98876,3,135,4,6,0.1,1,0,1251.0
425506,0,4,185,40.6848,-73.96219,3,350,6,14,0.3,1,156,81.0
430188,1,4,158,40.70516,-73.95455,2,120,14,76,0.76,6,343,101.0
434987,0,5,187,40.72329,-73.98486,2,71,2,182,1.81,1,200,6.0
417504,1,4,160,40.73776,-73.95327,2,349,3,8,0.09,28,60,1200.0
417504,1,4,160,40.73738,-73.95482,2,349,3,7,0.07,28,60,47.0
438133,1,4,183,40.67542,-73.98142,3,165,30,34,0.51,2,189,288.0
417504,1,4,160,40.73842,-73.95312,2,249,3,2,0.02,28,60,2981.0
448312,1,4,195,40.6926,-73.99832,2,100,3,66,0.68,2,0,1027.0
448312,1,4,195,40.69441,-73.99771,3,200,3,80,0.85,2,106,10.0
449787,0,5,187,40.72399,-73.98374,3,169,4,240,2.4,1,276,34.0
451545,0,4,121,40.6824,-73.94615,3,185,3,46,1.07,1,248,8.0
453519,0,4,66,40.68949,-73.91708,3,65,2,228,2.27,1,194,30.0
454756,0,4,164,40.68819,-73.97258,3,130,35,5,0.05,1,135,310.0
456638,0,4,158,40.7205,-73.96015,3,199,30,8,0.11,1,30,318.0
410094,0,5,187,40.72451,-73.98094,3,225,2,33,0.33,1,0,189.0
417504,1,4,160,40.73813,-73.95394,2,179,3,13,0.14,28,81,13.0
459054,0,4,126,40.67591,-73.94715,3,150,5,5,0.05,1,0,353.0
462776,0,5,187,40.72843,-73.98895,3,139,1,388,3.88,1,142,14.0
464506,1,5,143,40.71271,-73.99776,2,95,3,223,2.22,2,60,17.0
322716,1,4,126,40.66966,-73.94735,3,79,15,11,0.11,5,179,177.0
327900,1,5,188,40.71965,-73.98766,3,150,2,151,1.51,2,52,16.0
209460,1,4,121,40.68048,-73.94911,3,90,3,218,2.26,4,324,12.0
25183,1,4,121,40.68314,-73.93963,3,120,2,75,0.76,2,237,17.0
35375,1,2,134,40.75961,-73.91117,2,80,1,42,1.21,2,365,4.0
